ST,Locid,City,Airport Name,S/L,CY 24 Enplanements
AK,KWT,Kwethluk,Kwethluk,CS,3587
AK,CDB,Cold Bay,Cold Bay,CS,3543
PA,BFD,Bradford,Bradford Regional,CS,3521
AK,A61,Tuntutuliak,Tuntutuliak,CS,3474
AK,0AK,Pilot Station,Pilot Station,CS,3469
AK,Z13,Akiachak,Akiachak,CS,3448
AK,AUK,Alakanuk,Alakanuk,CS,3430
AK,AWI,Wainwright,Wainwright,CS,3416
TN,MKL,Jackson,Jackson Regional,CS,3383
AK,AFE,Kake,Kake,CS,3372
AK,OOK,Toksook Bay,Toksook Bay,CS,3342
AK,CFK,Chefornak,Chefornak,CS,3330
AK,16A,Nunapitchuk,Nunapitchuk,CS,3329
AR,HOT,Hot Springs,Memorial Field,CS,3303
AK,HLA,Huslia,Huslia,CS,3291
AK,SHH,Shishmaref,Shishmaref,CS,3282
AK,AKP,Anaktuvuk Pass,Anaktuvuk Pass,CS,3255
AK,SVA,Savoonga,Savoonga,CS,3199
MT,OLF,Wolf Point,L M Clayton,CS,3183
MT,HVR,Havre,Havre City-County,CS,3095
AK,TOG,Togiak,Togiak,CS,3082
AK,DUY,Kongiganak,Kongiganak,CS,3077
AK,SDP,Sand Point,Sand Point,CS,3075
AK,2A9,Kotlik,Kotlik,CS,3069
AK,KVL,Kivalina,Kivalina,CS,3039
MT,GGW,Glasgow,Wokal Field/Glasgow-Valley County,CS,2970
AK,EEK,Eek,Eek,CS,2920
AK,VDZ,Valdez,Valdez Pioneer Field,CS,2874
MO,BBG,Branson,Branson,CS,2856
AK,GAM,Gambell,Gambell,CS,2855
AK,RSH,Russian Mission,Russian Mission,CS,2807
AK,4A2,Atmautluak,Atmautluak,CS,2733
MI,MKG,Muskegon,Muskegon County,CS,2729
AK,MDM,Marshall,Marshall Don Hunter Sr,CS,2724
NE,MCK,McCook,McCook Ben Nelson Regional,CS,2707
AK,MCG,McGrath,McGrath,CS,2676
AK,AKI,Akiak,Akiak,CS,2674
HI,HNM,Hana,Hana,CS,2656
AK,TLT,Tuluksak,Tuluksak,CS,2628
NM,GUP,Gallup,Gallup Municipal,CS,2619
AR,ELD,El Dorado,South Arkansas Regional at Goodwin Field,CS,2560
AK,IAN,Kiana,Bob Baker Memorial,CS,2555
AK,GGV,Kwigillingok,Kwigillingok,CS,2534
AK,KLG,Upper Kalskag (native name: Kalskag),Kalskag,CS,2524
,119,Nonprimary Commercial Service,,,
,394,Total Primary Airports,,,
