ST,Locid,City,Airport Name,S/L,2008 ENP
AK,ARC,Arctic Village,Arctic Village,GA,1597
AK,5NN,Nondalton,Nondalton,GA,1574
AK,KAE,Kake,Kake,GA,1564
AK,HCA,Holy Cross,Holy Cross,GA,1551
AK,GNU,Goodnews Bay,Goodnews,GA,1532
LA,NBG,New Orleans,New Orleans NAS Jrb/Alvin Callender Field/,GA,1530
MI,IWD,Ironwood,Gogebic-Iron County,GA,1524
AR,FYV,Fayetteville,Drake Field,GA,1480
AK,BTT,Bettles,Bettles,GA,1463
HI,HNM,Hana,Hana,GA,1462
NM,LRU,Las Cruces,Las Cruces International,GA,1453
AK,DEE,Deering,Deering,GA,1417
KS,GBD,Great Bend,Great Bend Municipal,GA,1407
AR,HOT,Hot Springs,Memorial Field,GA,1382
WA,MWH,Moses Lake,Grant County International,GA,1369
AK,IWK,Wales,Wales,GA,1362
AK,GBH,Galbraith Lake,Galbraith Lake,GA,1352
AK,KQA,Akutan,Akutan,GA,1346
AR,JBR,Jonesboro,Jonesboro Municipal,GA,1339
AK,PKA,Napaskiak,Napaskiak,GA,1321
AK,9K2,Kokhanok,Kokhanok,GA,1313
CA,VNY,Van Nuys,Van Nuys,GA,1312
AK,TER,Teller,Teller,GA,1293
NE,OFF,Omaha,Offutt AFB,GA,1293
NJ,MMU,Morristown,Morristown Municipal,GA,1276
AK,FBK,Fairbanks/Ft Wainwright,Ladd AAF,GA,1266
AZ,IGM,Kingman,Kingman,GA,1260
UT,HIF,Ogden,Hill AFB,GA,1251
OK,TIK,Oklahoma City,Tinker AFB,GA,1241
ID,MYL,McCall,McCall Municipal,GA,1240
IL,DEC,Decatur,Decatur,GA,1232
KS,MPR,McPherson,McPherson,GA,1232
AK,AKK,Akhiok,Akhiok,GA,1220
AK,EII,Egegik,Egegik,GA,1182
DE,ILG,Wilmington,New Castle,GA,1182
AK,OBU,Kobuk,Kobuk,GA,1176
VA,HEF,Manassas,Manassas Regional/Harry P. Davis Field,GA,1173
GA,VAD,Valdosta,Moody AFB,GA,1160
CO,APA,Englewood,Centennial,GA,1158
IL,PWK,Wheeling,Chicago Executive,GA,1151
AK,TKA,Talkeetna,Talkeetna,GA,1150
AK,KGX,Grayling,Grayling,GA,1106
AK,HUS,Hughes,Hughes,GA,1104
AK,KYU,Koyukuk,Koyukuk,GA,1103
LA,BAD,Bossier City,Barksdale AFB,GA,1093
ID,MUO,Mountain Home,Mountain Home AFB,GA,1086
IN,BMG,Bloomington,Monroe County,GA,1030
AK,PTU,Platinum,Platinum,GA,1020
WA,S31,Lopez,Lopez Island,GA,1015
MD,NHK,Patuxent River Naval Air Test Center,Patuxent River NAS/Trapnell Field/,GA,1014
AK,WBQ,Beaver,Beaver,GA,1003
AK,0Z3,Dillingham,Shannons Pond,GA,1000
AK,KNW,New Stuyahok,New Stuyahok,GA,993
AK,5Z5,Kantishna,Kantishna,GA,985
AK,7KA,Tatitlek,Tatitlek,GA,981
NJ,TTN,Trenton,Trenton Mercer,GA,974
NY,MSS,Massena,Massena International-Richards Field,GA,971
NY,HTO,East Hampton,East Hampton,GA,923
AK,PTH,Port Heiden,Port Heiden,GA,919
AK,C05,Chenega,Chenega Bay,GA,910
FL,BCT,Boca Raton,Boca Raton,GA,906
AK,SHX,Shageluk,Shageluk,GA,901
TX,DYS,Abilene,Dyess AFB,GA,898
AK,ANV,Anvik,Anvik,GA,897
OK,CSM,Burns Flat,Clinton-Sherman,GA,897
NC,GSB,Goldsboro,Seymour Johnson AFB,GA,895
WA,W36,Renton,Will Rogers Wiley Post Memorial,GA,891
SD,RCA,Rapid City,Ellsworth AFB,GA,886
SC,GMU,Greenville,Greenville Downtown,GA,882
FL,OPF,Miami,Opa- Locka Executive,GA,869
DE,DOV,Dover,Dover AFB,GA,857
KS,GLD,Goodland,Renner Field /Goodland Municipal/,GA,849
CA,SMO,Santa Monica,Santa Monica Municipal,GA,820
AK,AJC,Chignik,Chignik,GA,800
AK,CIK,Chalkyitsik,Chalkyitsik,GA,795
IN,OKK,Kokomo,Kokomo Municipal,GA,785
AK,IGG,Igiugig,Igiugig,GA,774
NJ,BLM,Belmar,Monmouth Executive,GA,765
FL,PAM,Panama City,Tyndall AFB,GA,758
