ST,Locid,City,Airport Name,S/L,2008 ENP
CA,O28,Willits,Ells Field-Willits Municipal,GA,15
CA,O59,Cedarville,Cedarville,GA,15
CA,RAL,Riverside,Riverside Municipal,GA,15
GA,CZL,Calhoun,Tom B. David Field,GA,15
ID,U54,Bernard,Bernard USFS,GA,15
IN,05C,Griffith,Griffith-Merrillville,GA,15
IN,MZZ,Marion,Marion Municipal,GA,15
KY,FFT,Frankfort,Capital City,GA,15
MI,OZW,Howell,Livingston County Spencer J. Hardy,GA,15
MO,JEF,Jefferson City,Jefferson City Memorial,GA,15
MS,PQL,Pascagoula,Trent Lott International,GA,15
NC,ECG,Elizabeth City,Elizabeth City CG Air Station/Regional,GA,15
NC,SUT,Southport,Brunswick County,GA,15
NE,LXN,Lexington,Jim Kelly Field,GA,15
TN,RNC,McMinnville,Warren County Memorial,GA,15
TX,GDJ,Granbury,Granbury Regional,GA,15
UT,BCE,Bryce Canyon,Bryce Canyon,GA,15
WA,11S,Sekiu,Sekiu,GA,15
AK,AK15,Deadhorse,Alpine Airstrip,GA,14
AK,Z84,Clear,Clear,GA,14
AR,SGT,Ulm,Stuttgart Municipal,GA,14
CA,KIC,King City,Mesa Del Rey,GA,14
CA,LHM,Lincoln,Lincoln Regional/Karl Harder Field,GA,14
CA,O02,Beckwourth,Nervino,GA,14
CO,C24,Creede,Mineral County Memorial,GA,14
IN,HFY,Greenwood,Greenwood Municipal,GA,14
KS,0H1,Wakeeney,Trego Wakeeney,GA,14
KS,1K9,Satanta,Satanta Municipal,GA,14
KS,5K2,Tribune,Tribune Municipal,GA,14
KS,NRN,Norton,Norton Municipal,GA,14
MI,RQB,Big Rapids,Roben-Hood,GA,14
MO,POF,Poplar Bluff,Poplar Bluff Municipal,GA,14
NE,RBE,Bassett,Rock County,GA,14
NM,NM78,Columbus,Hacienda Sur Luna,GA,14
OH,UNI,Athens,Ohio University Snyder Field,GA,14
OR,4S2,Hood River,Ken Jernstedt Airfield,GA,14
OR,TTD,Portland,Portland-Troutdale,GA,14
SC,GRD,Greenwood,Greenwood County,GA,14
TX,TKI,McKinney,Collin County Regional at McKinney,GA,14
TX,UVA,Uvalde,Garner Field,GA,14
WA,S52,Winthrop,Methow Valley State,GA,14
WI,ARV,Minocqua-Woodruff,Lakeland/Noble F. Lee Memorial Field,GA,14
AK,2AK6,Hogatza,Hog River,GA,13
AK,37AK,Big Mountain Radio Relay Site (U.S. Air Force),Big Mountain,GA,13
AK,HYG,Hydaburg,Hydaburg,GA,13
AL,27AL,Tuskegee,Little Texas,GA,13
AL,5R4,Foley,Foley Municipal,GA,13
CA,DVO,Novato,Gnoss Field,GA,13
CA,FUL,Fullerton,Fullerton Municipal,GA,13
FL,LCQ,Lake City,Lake City Municipal,GA,13
FL,VDF,Tampa,Tampa Executive,GA,13
GA,CCO,Newnan,Newnan Coweta County,GA,13
IN,EYE,Indianapolis,Eagle Creek Airpark,GA,13
KS,3K3,Syracuse,Syracuse-Hamilton County Municipal,GA,13
MD,MD71,Baltimore,University of Maryland Shock Trauma Center,GA,13
MN,ONA,Winona,Winona Municipal-Max Conrad Field,GA,13
MO,MHL,Marshall,Marshall Memorial Municipal,GA,13
NC,RHP,Andrews,Western Carolina Regional,GA,13
NH,NH35,Hampton,Fisher Scientific,GA,13
OR,LGD,La Grande,La Grande/Union County,GA,13
TN,CSV,Crossville,Crossville Memorial-Whitson Field,GA,13
TX,T82,Fredericksburg,Gillespie County,GA,13
VA,MTV,Spencer,Blue Ridge,GA,13
WA,ELN,Ellensburg,Bowers Field,GA,13
WA,WN07,Decatur,Decatur Shores,GA,13
WI,PBH,Phillips,Price County,GA,13
AK,CKX,Chicken,Chicken,GA,12
AL,DCU,Mooresville,Pryor Field Regional,GA,12
AR,VBT,Bentonville,Bentonville Municipal/Louise M Thaden Field,GA,12
GA,AJR,Cornelia,Habersham County,GA,12
GA,RMG,Rome,Richard B Russell,GA,12
IA,IA23,Guttenberg,GAA Private,GA,12
IA,SOY,Sioux Center,Sioux Center Municipal,GA,12
IL,IL75,Chicago,John H. Stroger Hospital of Cook County,GA,12
KS,RSL,Russell,Russell Municipal,GA,12
MA,AQW,North Adams,Harriman-And-West,GA,12
MD,FME,Odenton,Tipton,GA,12
MI,OGM,Ontonagon,Ontonagon County - Schuster Field,GA,12
MN,JMR,Mora,Mora Municipal,GA,12
MN,PKD,Park Rapids,Park Rapids Municipal-Konshok Field,GA,12
MO,K02,Perryville,Perryville Municipal,GA,12
NC,EDE,Edenton,Northeastern Regional,GA,12
NC,ONX,Currituck,Currituck County Regional,GA,12
NE,BUB,Burwell,Cram Field,GA,12
NE,BVN,Albion,Albion Municipal,GA,12
OH,ISZ,Cincinnati,Cincinnati-Blue Ash,GA,12
OK,17K,Boise City,Boise City,GA,12
PA,DYL,Doylestown,Doylestown,GA,12
TN,DYR,Dyersburg,Dyersburg Regional,GA,12
TX,CZT,Carrizo Springs,Dimmit County,GA,12
TX,ODO,Odessa,Odessa-Schlemeyer Field,GA,12
TX,PRX,Paris,Cox Field,GA,12
TX,TDW,Amarillo,Tradewind,GA,12
WI,RYV,Watertown,Watertown Municipal,GA,12
WY,9U4,Dixon,Dixon,GA,12
AK,AK06,McKinley Park,Denali,GA,11
CA,BIH,Bishop,Eastern Sierra Regional,GA,11
CA,H37,Herlong,Herlong,GA,11
CA,JAQ,Jackson,Westover Field Amador County,GA,11
GA,19A,Jefferson,Jackson County,GA,11
IA,CSQ,Creston,Creston Municipal,GA,11
IA,TNU,Newton,Newton Municipal,GA,11
KS,CNK,Concordia,Blosser Municipal,GA,11
MA,7B2,Northampton,Northampton,GA,11
ME,MLT,Millinocket,Millinocket Municipal,GA,11
MI,MOP,Mount Pleasant,Mount Pleasant Municipal,GA,11
MN,MJQ,Jackson,Jackson Municipal,GA,11
MN,ULM,New Ulm,New Ulm Municipal,GA,11
MO,K15,Osage Beach,Grand Glaize- Osage Beach,GA,11
MS,MBO,Madison,Bruce Campbell Field,GA,11
MT,3U3,Anaconda,Bowman Field,GA,11
NE,12K,Superior,Superior Municipal,GA,11
OH,I40,Coshocton,Richard Downing,GA,11
OR,3S8,Grants Pass,Grants Pass,GA,11
OR,4S1,Gold Beach,Gold Beach Municipal,GA,11
PA,OQN,West Chester,Brandywine,GA,11
SC,RBW,Walterboro,Lowcountry Regional,GA,11
TN,M91,Springfield,Springfield Robertson County,GA,11
TN,MRC,Columbia/Mount Pleasant,Maury County,GA,11
TX,RBD,Dallas,Dallas Executive,GA,11
UT,TVY,Tooele,Bolinder Field-Tooele Valley,GA,11
AK,Z17,Ophir,Ophir,GA,10
AZ,E25,Wickenburg,Wickenburg Municipal,GA,10
CA,DWA,Davis,Yolo County,GA,10
CA,MCC,Sacramento,McClellan Airfield,GA,10
FL,SEF,Sebring,Sebring Regional,GA,10
GA,HQU,Thomson,Thomson-McDuffie County,GA,10
IA,FFL,Fairfield,Fairfield Municipal,GA,10
IA,IA8,Dyersville,Dyersville Area,GA,10
IL,IGQ,Chicago,Lansing Municipal,GA,10
IL,IKK,Kankakee,Greater Kankakee,GA,10
IN,MCX,Monticello,White County,GA,10
KS,EMP,Emporia,Emporia Municipal,GA,10
KS,K79,Jetmore,Jetmore Municipal,GA,10
KS,K82,Smith Center,Smith Center Municipal,GA,10
KS,OIN,Oberlin,Oberlin Municipal,GA,10
KY,EKX,Elizabethtown,Addington Field,GA,10
KY,GLW,Glasgow,Glasgow Municipal,GA,10
KY,LOZ,London,London-Corbin Airport-Magee Field,GA,10
MI,DRM,Drummond Island,Drummond Island,GA,10
MI,IRS,Sturgis,Kirsch Municipal,GA,10
MN,+02W,Anoka,New,GA,10
MN,AXN,Alexandria,Chandler Field,GA,10
MN,CNB,Canby,Myers Field,GA,10
MN,D39,Sauk Centre,Sauk Centre Municipal,GA,10
MS,MPE,Philadelphia,Philadelphia Municipal,GA,10
MT,7S6,White Sulphur Springs,White Sulphur Springs,GA,10
NC,1A5,Franklin,Macon County,GA,10
NC,BUY,Burlington,Burlington-Alamance Regional,GA,10
NC,MRN,Lenoir,Foothills Regional,GA,10
NC,RUQ,Salisbury,Rowan County,GA,10
NH,BML,Berlin,Berlin Regional,GA,10
NV,BAM,Battle Mountain,Battle Mountain,GA,10
OH,4G4,Youngstown,Youngstown Elser Metro,GA,10
OK,WDG,Enid,Enid Woodring Regional,GA,10
SC,BNL,Barnwell,Barnwell Regional,GA,10
SD,ICR,Winner,Winner Regional,GA,10
TN,PVE,Darden,Beech River Regional,GA,10
TX,E41,Big Lake,Reagan County,GA,10
TX,HYI,San Marcos,San Marcos Municipal,GA,10
TX,OZA,Ozona,Ozona Municipal,GA,10
TX,PPA,Pampa,Perry Lefors Field,GA,10
TX,SSF,San Antonio,Stinson Municipal,GA,10
WA,EPH,Ephrata,Ephrata Municipal,GA,10
AK,KMY,Moser Bay,Moser Bay,GA,9
AL,11A,Clayton,Clayton Municipal,GA,9
CO,BDU,Boulder,Boulder Municipal,GA,9
FL,28J,Palatka,Palatka Municipal - Lt. Kay Larkin Field,GA,9
FL,LEE,Leesburg,Leesburg International,GA,9
GA,CTJ,Carrollton,West Georgia Regional - O V Gray Field,GA,9
GA,VDI,Vidalia,Vidalia Regional,GA,9
ID,S78,Emmett,Emmett Municipal,GA,9
IN,4I7,Greencastle,Putnam County,GA,9
KY,AAS,Campbellsville,Taylor County,GA,9
KY,K20,Hazard,Wendell H Ford,GA,9
LA,GAO,Galliano,South Lafourche Leonard Miller Jr,GA,9
MD,W32,Clinton,Washington Executive/Hyde Field,GA,9
ME,0B1,Bethel,Bethel Regional,GA,9
MI,HAI,Three Rivers,Three Rivers Municipal Dr Haines,GA,9
MN,70MY,New Prague,Loon Lane,GA,9
MN,ORB,Orr,Orr Regional,GA,9
MS,17M,Magee,Magee Municipal,GA,9
MT,9S2,Scobey,Scobey,GA,9
MT,PWD,Plentywood,Sher-Wood,GA,9
NC,0A7,Hendersonville,Hendersonville,GA,9
NH,NH31,Wolfeboro,Mountain View Field,GA,9
NM,RTN,Raton,Raton Municipal/Crews Field,GA,9
NV,O43,Yerington,Yerington Municipal,GA,9
NY,N66,Oneonta,Oneonta Municipal,GA,9
NY,OLE,Olean,Cattaraugus County-Olean,GA,9
OH,MRT,Marysville,Union County,GA,9
OK,ADM,Ardmore,Ardmore Municipal,GA,9
OR,BNO,Burns,Burns Municipal,GA,9
PA,SEG,Selinsgrove,Penn Valley,GA,9
TN,GZS,Pulaski,Abernathy Field,GA,9
TX,HHF,Canadian,Hemphill County,GA,9
UT,74V,Roosevelt,Roosevelt Municipal,GA,9
WI,EGV,Eagle River,Eagle River Union,GA,9
WI,PVB,Platteville,Platteville Municipal,GA,9
WI,RRL,Merrill,Merrill Municipal,GA,9
WV,BLF,Bluefield,Mercer County,GA,9
AK,CYM,Chatham,Chatham,GA,8
AK,L20,Yukon Charley Rivers,Coal Creek,GA,8
CA,SIY,Montague,Siskiyou County,GA,8
CA,VCB,Vacaville,Nut Tree,GA,8
CA,WJF,Lancaster,General Wm J Fox Airfield,GA,8
CO,AKO,Akron,Colorado Plains Regional,GA,8
FL,COI,Merritt Island,Merritt Island,GA,8
GA,MAC,Macon,Macon Downtown,GA,8
IL,DNV,Danville,Vermilion Regional,GA,8
KS,9K7,Ellsworth,Ellsworth Municipal,GA,8
KY,CEY,Murray,Kyle-Oakley Field,GA,8
KY,EHR,Henderson,Henderson City-County,GA,8
LA,OPL,Opelousas,St Landry Parish-Ahart Field,GA,8
MN,MML,Marshall,Southwest Minnesota Regional Marshall/Ryan Field,GA,8
MT,6S0,Big Timber,Big Timber,GA,8
MT,EKS,Ennis,Ennis - Big Sky,GA,8
NE,HSI,Hastings,Hastings Municipal,GA,8
NJ,39N,Rocky Hill,Princeton,GA,8
NY,MGJ,Montgomery,Orange County,GA,8
OH,1G5,Medina,Medina Municipal,GA,8
OH,I66,Wilmington,Clinton Field,GA,8
OH,LHQ,Lancaster,Fairfield County,GA,8
OH,ZZV,Zanesville,Zanesville Municipal,GA,8
OK,AVK,Alva,Alva Regional,GA,8
OR,S21,Sunriver,Sunriver,GA,8
PA,AXQ,Clarion,Clarion County,GA,8
SC,CDN,Camden,Woodward Field,GA,8
TN,0A9,Elizabethton,Elizabethton Municipal,GA,8
TN,MMI,Athens,McMinn County,GA,8
TN,MNV,Madisonville,Monroe County,GA,8
TN,MOR,Morristown,Moore-Murrell,GA,8
TX,49F,Rankin,Rankin,GA,8
TX,T90,Winnie-Stowell (CCD),Chambers County-Winnie Stowell,GA,8
VA,FKN,Franklin,Franklin Municipal-John Beverly Rose,GA,8
VT,DDH,Bennington,William H. Morse State,GA,8
VT,VSF,Springfield,Hartness State (Springfield),GA,8
WA,R49,Republic,Ferry County,GA,8
WI,91C,Prairie du Sac,Sauk-Prairie,GA,8
WI,CLI,Clintonville,Clintonville Municipal,GA,8
WY,BPI,Big Piney,Miley Memorial Field,GA,8
AK,46AK,Homer,Bear Cove Farm,GA,7
AK,KOY,Olga Bay,Olga Bay,GA,7
AL,SEM,Selma,Craig Field,GA,7
AZ,AZC,Colorado City,Colorado City Municipal,GA,7
CA,1Q2,Susanville,Spaulding,GA,7
CO,1V6,Canon City,Fremont County,GA,7
CO,HEQ,Holyoke,Holyoke,GA,7
FL,LNA,West Palm Beach,Palm Beach County Park,GA,7
FL,ZPH,Zephyrhills,Zephyrhills Municipal,GA,7
GA,ACJ,Americus,Souther Field,GA,7
IA,SDA,Shenandoah,Shenandoah Municipal,GA,7
MA,1B9,Mansfield,Mansfield Municipal,GA,7
MD,CGE,Cambridge,Cambridge-Dorchester,GA,7
MI,BAX,Bad Axe,Huron County Memorial,GA,7
MI,ISQ,Manistique,Schoolcraft County,GA,7
MN,LJF,Litchfield,Litchfield Municipal,GA,7
MO,EVU,Maryville,Northwest Missouri Regional,GA,7
MS,LUL,Laurel,Hesler-Noble Field,GA,7
MS,OLV,Olive Branch,Olive Branch,GA,7
MT,02T,Wise River,Wise River,GA,7
MT,LVM,Livingston,Mission Field,GA,7
NC,EXX,Lexington,Davidson County,GA,7
NC,UKF,North Wilkesboro,Wilkes County,GA,7
NE,FET,Fremont,Fremont Municipal,GA,7
NM,SKX,Taos,Taos Regional,GA,7
NY,D38,Canandaigua,Canandaigua,GA,7
OH,I69,Batavia,Clermont County,GA,7
OH,S24,Fremont,Sandusky County Regional,GA,7
OH,TSO,Carrollton,Carroll County-Tolson,GA,7
PA,22N,Lehighton,Jake Arner Memorial,GA,7
PA,IDI,Indiana,Indiana County/Jimmy Stewart Field/,GA,7
SC,DCM,Chester,Chester Catawba Regional,GA,7
SC,SMS,Sumter,Sumter,GA,7
TN,RKW,Rockwood,Rockwood Municipal,GA,7
TN,THA,Tullahoma,Tullahoma Regional Airport/Wm Northern Field,GA,7
TX,ALI,Alice,Alice International,GA,7
TX,DUX,Dumas,Moore County,GA,7
TX,MWL,Mineral Wells,Mineral Wells,GA,7
TX,PSN,Palestine,Palestine Municipal,GA,7
TX,SLR,Sulphur Springs,Sulphur Springs Municipal,GA,7
VA,JFZ,Richlands,Tazewell County,GA,7
VA,MFV,Melfa,Accomack County,GA,7
VA,PSK,Dublin,New River Valley,GA,7
VA,W78,South Boston,William M Tuck,GA,7
WA,S18,Forks,Forks,GA,7
WA,WA09,Roche Harbor,Roche Harbor,GA,7
WI,63C,Friendship,Adams County Legion Field,GA,7
WV,EKN,Elkins,Elkins-Randolph County-Jennings Randolph Field,GA,7
AL,20A,Oneonta,Robbins Field,GA,6
AL,AL05,Hurtsboro,Sehoy,GA,6
AL,GAD,Gadsden,Northeast Alabama Regional,GA,6
AL,PRN,Greenville,MacCrenshaw Memorial,GA,6
AL,SCD,Sylacauga,Merkel Field Sylacauga Municipal,GA,6
AZ,0V7,Kayenta,Kayenta,GA,6
AZ,P20,Parker,Avi Suquilla,GA,6
CA,2O1,Quincy,Gansner Field,GA,6
CA,L22,Yucca Valley,Yucca Valley,GA,6
CA,NUQ,Mountain View,Moffett Federal Airfield,GA,6
CA,RBL,Red Bluff,Red Bluff Municipal,GA,6
CO,0CO6,Norwood,Flying M & M Ranch,GA,6
CT,IJD,Willimantic,Windham,GA,6
GA,4J2,Nashville,Berrien County,GA,6
GA,63GA,McDonough,Zips,GA,6
GA,6A2,Griffin,Griffin-Spalding County,GA,6
IA,LRJ,Le Mars,Le Mars Municipal,GA,6
ID,1S6,Priest River,Priest River Municipal,GA,6
ID,S72,Saint Maries,St Maries Municipal,GA,6
ID,S77,Coeur D Alene,Magee,GA,6
IL,06C,Schaumburg,Schaumburg Regional,GA,6
IL,DKB,De Kalb,De Kalb Taylor Municipal,GA,6
IL,FEP,Freeport,Albertus,GA,6
IL,MVN,Mount Vernon,Mount Vernon,GA,6
IN,RID,Richmond,Richmond Municipal,GA,6
KY,6I2,Springfield,Lebanon-Springfield,GA,6
LA,ACP,Oakdale,Allen Parish,GA,6
MA,1B2,Edgartown,Katama Airpark,GA,6
MD,DMW,Westminster,Carroll County Regional/Jack B Poage Field,GA,6
MD,W18,Laurel,Suburban,GA,6
ME,3B1,Greenville,Greenville Municipal,GA,6
ME,B19,Biddeford,Biddeford Municipal,GA,6
MI,MCD,Mackinac Island,Mackinac Island,GA,6
MS,GNF,Grenada,Grenada Municipal,GA,6
MT,CTB,Cut Bank,Cut Bank Municipal,GA,6
NC,NC06,Banner Elk,Elk River,GA,6
NC,OCW,Washington,Warren Field,GA,6
NH,8B1,Hillsboro,Hawthorne-Feather Airpark,GA,6
NM,AEG,Albuquerque,Double Eagle II,GA,6
NM,LAM,Los Alamos,Los Alamos,GA,6
NV,HTH,Hawthorne,Hawthorne Industrial,GA,6
NY,1B1,Hudson,Columbia County,GA,6
OH,02G,East Liverpool,Columbiana County,GA,6
OH,I12,Sidney,Sidney Municipal,GA,6
OH,I95,Kenton,Hardin County,GA,6
OH,OXD,Oxford,Miami University,GA,6
OH,PHD,New Philadelphia,Harry Clever Field,GA,6
OK,HSD,Oklahoma City,Sundance Airpark,GA,6
OK,RVS,Tulsa,Richard Lloyd Jones Jr,GA,6
PA,BTP,Butler,Butler County/K W Scholter Field,GA,6
PA,BVI,Beaver Falls,Beaver County,GA,6
SD,1D1,Milbank,Milbank Municipal,GA,6
SD,VMR,Vermillion,Harold Davidson Field,GA,6
TX,5TE0,Eagle Pass,Comanche Ranch,GA,6
TX,AXH,Houston,Houston-Southwest,GA,6
TX,ECU,Rocksprings,Edwards County,GA,6
TX,JWY,Midlothian/Waxahachie,Mid-Way Regional,GA,6
TX,MRF,Marfa,Marfa Municipal,GA,6
UT,UT29,Tremonton,Jack's,GA,6
VA,AVC,South Hill,Mecklenburg-Brunswick Regional,GA,6
VA,FVX,Farmville,Farmville Regional,GA,6
VA,GVE,Gordonsville,Gordonsville Municipal,GA,6
VA,XSA,Tappahannock,Tappahannock-Essex County,GA,6
WA,DEW,Deer Park,Deer Park,GA,6
WA,VUO,Vancouver,Pearson Field,GA,6
WI,3CU,Cable,Cable Union,GA,6
WI,OEO,Osceola,L O Simenstad Municipal,GA,6
WI,SUW,Superior,Richard I Bong,GA,6
WY,RWL,Rawlins,Rawlins Municipal/Harvey Field,GA,6
WY,TOR,Torrington,Torrington Municipal,GA,6
AK,AK07,Anchorage,Dog Fish Bay,GA,5
AK,KKL,Karluk Lake,Karluk Lake,GA,5
AK,WSJ,San Juan,San Juan /Uganik/,GA,5
AL,1A9,Prattville,Prattville - Grouby Field,GA,5
AL,EUF,Eufaula,Weedon Field,GA,5
AR,ASG,Springdale,Springdale Municipal,GA,5
AR,CWS,Conway,Dennis F Cantrell Field,GA,5
CA,O52,Yuba City,Sutter County,GA,5
CA,RNM,Ramona,Ramona,GA,5
CO,CAG,Craig,Craig-Moffat,GA,5
CT,MMK,Meriden,Meriden Markham Municipal,GA,5
GA,DBN,Dublin,W H 'Bud' Barron,GA,5
GA,MUL,Moultrie,Spence,GA,5
GA,WDR,Winder,Barrow County,GA,5
IA,OOA,Oskaloosa,Oskaloosa Municipal,GA,5
IL,LWV,Lawrenceville,Lawrenceville-Vincennes International,GA,5
KY,M25,Mayfield,Mayfield Graves County,GA,5
MD,2W5,Indian Head,Maryland,GA,5
MI,TTF,Monroe,Custer,GA,5
MN,MIC,Minneapolis,Crystal,GA,5
MS,GWO,Greenwood,Greenwood-Leflore,GA,5
NC,AKH,Gastonia,Gastonia Municipal,GA,5
NC,IPJ,Lincolnton,Lincolnton-Lincoln County Regional,GA,5
NC,LBT,Lumberton,Lumberton Municipal,GA,5
NC,NC10,Macon,Nocarva,GA,5
NC,RCZ,Rockingham,Richmond County,GA,5
NC,ZEF,Elkin,Elkin Municipal,GA,5
ND,S25,Watford City,Watford City Municipal,GA,5
NH,1P1,Plymouth,Plymouth Municipal,GA,5
NJ,NJ08,Cape May Court House,Stone Harbor Golf Club,GA,5
NM,CAO,Clayton,Clayton Municipal Airpark,GA,5
NV,WMC,Winnemucca,Winnemucca Municipal,GA,5
NY,13NY,Stony Brook,Health Sciences Center Unv Hospital,GA,5
NY,NY0,Johnstown,Fulton County,GA,5
OK,5O1,Vici,Vici Municipal,GA,5
OK,WWR,Woodward,West Woodward,GA,5
PA,2G9,Somerset,Somerset County,GA,5
PA,LHV,Lock Haven,William T. Piper Memorial,GA,5
PA,N35,Punxsutawney,Punxsutawney Municipal,GA,5
PA,N47,Pottstown,Pottstown Municipal,GA,5
PA,PTW,Pottstown,Pottstown Limerick,GA,5
PA,RVL,Reedsville,Mifflin County,GA,5
PA,ZER,Pottsville,Schuylkill County /Joe Zerbey/,GA,5
SC,CKI,Kingstree,Williamsburg Regional,GA,5
TN,BGF,Winchester,Winchester Municipal,GA,5
TX,CNW,Waco,TSTC Waco,GA,5
TX,CPT,Cleburne,Cleburne Municipal,GA,5
TX,VHN,Van Horn,Culberson County,GA,5
UT,BMC,Brigham City,Brigham City,GA,5
VA,CPK,Chesapeake,Chesapeake Regional,GA,5
WA,0S7,Oroville,Dorothy Scott,GA,5
WA,CLS,Chehalis,Chehalis-Centralia,GA,5
WA,W56,Vancouver,Fly for Fun,GA,5
WI,ENW,Kenosha,Kenosha Regional,GA,5
AK,9AK2,Russian Mission,Kako,GA,4
AK,AK26,Solomon,Solomon State Field,GA,4
AK,AKW,Klawock,Klawock,GA,4
AK,KPR,Port Williams,Port Williams,GA,4
AK,KPY,Port Bailey,Port Bailey,GA,4
AK,MOS,Elim,Moses Point,GA,4
AL,MVC,Monroeville,Monroe County,GA,4
AL,TOI,Troy,Troy Municipal,GA,4
AR,2A2,Clinton,Holley Mountain Airpark,GA,4
AR,BVX,Batesville,Batesville Regional,GA,4
AR,ORK,North Little Rock,North Little Rock Municipal,GA,4
AZ,SAD,Safford,Safford Regional,GA,4
CA,C80,Coalinga,New Coalinga Municipal,GA,4
CA,PTV,Porterville,Porterville Municipal,GA,4
CT,4B9,Simsbury,Simsbury,GA,4
GA,09J,Jekyll Island,Jekyll Island,GA,4
GA,52A,Madison,Madison Municipal,GA,4
GA,CXU,Camilla,Camilla-Mitchell County,GA,4
GA,TBR,Statesboro,Statesboro-Bulloch County,GA,4
IA,CKP,Cherokee,Cherokee County Regional,GA,4
IA,IFA,Iowa Falls,Iowa Falls Municipal,GA,4
IL,SQI,Sterling,Whiteside County-Jos H Bittorf Field,GA,4
IN,ASW,Warsaw,Warsaw Municipal,GA,4
IN,I76,Peru,Peru Municipal,GA,4
KS,K88,Iola,Allen County,GA,4
KS,MYZ,Marysville,Marysville Municipal,GA,4
KS,PTS,Pittsburg,Atkinson Municipal,GA,4
KY,FGX,Flemingsburg,Fleming-Mason,GA,4
LA,3R7,Jennings,Jennings,GA,4
LA,RSN,Ruston,Ruston Regional,GA,4
ME,ME16,Limestone,Loring International,GA,4
MI,8D4,Sparta,Paul C. Miller-Sparta,GA,4
MN,AUM,Austin,Austin Municipal,GA,4
MN,MKT,Mankato,Mankato Regional,GA,4
MN,RGK,Red Wing,Red Wing Regional,GA,4
MO,EIW,New Madrid,County Memorial,GA,4
MO,PLK,Point Lookout,M. Graham Clark - Taney County,GA,4
MO,RCM,Warrensburg,Skyhaven,GA,4
MS,04MS,Rolling Fork,Nick's Flying Service Inc,GA,4
MS,VKS,Vicksburg,Vicksburg Municipal,GA,4
MT,88M,Eureka,Eureka,GA,4
NC,60J,Ocean Isle Beach,Odell Williamson Municipal,GA,4
ND,D50,Crosby,Crosby Municipal,GA,4
NE,ONL,O'Neill,The O'Neill Municipal-John L Baker Field,GA,4
NH,HIE,Whitefield,Mount Washington Regional,GA,4
NJ,4NJ5,Sayreville,Raritan Center,GA,4
NJ,WWD,Wildwood,Cape May County,GA,4
NM,F37,Carrizozo,Carrizozo Municipal,GA,4
NY,6B9,Skaneateles,Skaneateles Aero Drome,GA,4
NY,7G0,Brockport,Ledgedale Airpark,GA,4
OH,1G8,Toronto,Eddie Dew Memorial Airpark,GA,4
OH,AOH,Lima,Lima Allen County,GA,4
OH,USE,Wauseon,Fulton County,GA,4
OK,ADH,Ada,Ada Municipal,GA,4
OK,MIO,Miami,Miami Municipal,GA,4
OR,62S,Christmas Valley,Christmas Valley,GA,4
OR,HRI,Hermiston,Hermiston Municipal,GA,4
PA,98PN,Allentown,Trauma Center,GA,4
PA,UCP,New Castle,New Castle Municipal,GA,4
SC,MKS,Moncks Corner,Berkeley County,GA,4
SD,AGZ,Wagner,Wagner Municipal,GA,4
SD,MDS,Madison,Madison Municipal,GA,4
TN,UOS,Sewanee,Franklin County,GA,4
TX,PVW,Plainview,Hale County,GA,4
UT,U69,Duchesne,Duchesne Municipal,GA,4
VA,8VA5,Charlottesville,University of Virginia Hospital,GA,4
VA,SFQ,Suffolk,Suffolk Executive,GA,4
WA,14S,Westport,Westport,GA,4
WA,2S8,Wilbur,Wilbur,GA,4
WA,43D,Odessa,Odessa Municipal,GA,4
WA,PLU,Puyallup,Pierce County - Thun Field,GA,4
WA,RLD,Richland,Richland,GA,4
WA,S97,Brewster,Anderson Field,GA,4
WI,C35,Reedsburg,Reedsburg Municipal,GA,4
WI,C59,Delavan,Lake Lawn,GA,4
WI,LNL,Land O'Lakes,Kings Land O' Lakes,GA,4
WI,Y55,Crandon,Crandon Municipal,GA,4
WY,W43,Hulett,Hulett Municipal,GA,4
AK,3AK6,Palmer,B & B Boys Ranch,GA,3
AK,5A8,Aleknagik,Aleknagik /New,GA,3
AK,SVW,Sparrevohn,Sparrevohn LRRS,GA,3
AL,MDQ,Huntsville,Madison County Executive/Tom Sharp Jr Field,GA,3
CA,CXL,Calexico,Calexico International,GA,3
CA,O57,Bridgeport,Bryant Field,GA,3
CO,SBS,Steamboat Springs,Steamboat Springs/Bob Adams Field,GA,3
GA,47A,Canton,Cherokee County,GA,3
GA,DNN,Dalton,Dalton Municipal,GA,3
IA,ORC,Orange City,Orange City Municipal,GA,3
ID,1U7,Paris,Bear Lake County,GA,3
ID,BYI,Burley,Burley Municipal,GA,3
IN,2R2,Danville,Hendricks County-Gordon Graham Field,GA,3
KS,3JC,Junction City,Freeman Field,GA,3
KS,BEC,Wichita,Beech Factory,GA,3
KS,PHG,Phillipsburg,Phillipsburg Municipal,GA,3
KY,1A6,Middlesboro,Middlesboro-Bell County,GA,3
KY,4M7,Russellville,Russellville-Logan County,GA,3
KY,TWT,Sturgis,Sturgis Municipal,GA,3
LA,DRI,DeRidder,Beauregard Regional,GA,3
LA,L38,Gonzales,Louisiana Regional,GA,3
MD,2W6,Leonardtown,St. Mary's County Regional,GA,3
MD,ANP,Annapolis,Lee,GA,3
MD,W29,Stevensville,Bay Bridge,GA,3
ME,HUL,Houlton,Houlton International,GA,3
ME,IZG,Fryeburg,Eastern Slopes Regional,GA,3
MI,1D2,Plymouth,Canton-Plymouth-Mettetal,GA,3
